ID	domain	phylum	class	order	family	genus	species
k141_104	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproicibacter	Caproicibacter fermentans
k141_12105	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus composti
k141_20138	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
k141_28165	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium luteolum
k141_12107	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis
k141_20139	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp. Marseille-Q4140
k141_8116	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproiciproducens	Caproiciproducens sp. NJN-50
k141_12108	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales			
k141_4097	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio gangliei
k141_28171	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
k141_28172	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ethanoligenens	Ethanoligenens harbinense
k141_112	Bacteria						
k141_16043	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Agromyces	Agromyces laixinhei
k141_20140	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus oncorhynchi
k141_8125	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	Oscillibacter hominis
k141_113	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis
k141_4099	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Thermobacillus	Thermobacillus composti
k141_20143	Bacteria	Pseudomonadota					
k141_12113	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema socranskii
k141_20145	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. PAMC21692
k141_12114	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia sp. 19OD2882
k141_16045	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproiciproducens	Caproiciproducens sp. NJN-50
k141_24129	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Crassaminicella	Crassaminicella thermophila
k141_8127	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis
k141_16047	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	Oscillibacter hominis
k141_20146	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium sp. oral taxon 416
k141_120	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis
k141_12116	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylorubrum	
k141_24131	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	
k141_8129	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis
k141_16048	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis
k141_12117	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. RUD330
k141_20147	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproiciproducens	Caproiciproducens sp. NJN-50
k141_16050	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces hygroscopicus
k141_8134	Bacteria	Pseudomonadota	Alphaproteobacteria				
k141_16051	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	Aminipila	Aminipila luticellarii
k141_24133	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae		
k141_28187	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. MPKO10
k141_16052	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Pusillibacter	Pusillibacter faecalis
k141_124	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Dysosmobacter	Dysosmobacter welbionis
k141_24134	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproicibacter	Caproicibacter fermentans
k141_8136	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus mucilaginosus
k141_28189	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproicibacterium	Caproicibacterium sp. BJN0003
k141_28190	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp. SN-593
k141_8137	Bacteria						
